Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Jinnie Fay, Jetmirs Second",Thomas (Tomy)#0982,0,GMT +2,ImNotFine#8210,0,2,BYE,2,0,Dracosinus#5200,1,2,33,43
3,3,"Balmor, Battlemage Captain",OoglyBoogly#0741,0,GMT -4,dooguej#12222,2,0,ImNotFine#8210,2,0,Kalitas#5029,2,0,100,100
2,3,"Kykar, Winds Fury",themudman#8734,0,GMT +2,Moncana#1346,2,0,Freyalisër#3719,1,2,BYE,2,0,67,71
1,3,"Thalia, Guardian of Thraben",artillect#8709,0,GMT -7,Kalitas#5029,2,1,inkheart#1346,0,2,firewolf#6439,0,2,33,29
1,2,"Teferi, Hero of Dominaria",Peaches#3538,0,GMT -4,firewolf#6439,0,2,IzzetABCannon#9312,2,1,Moncana#1346,,,50,40
1,3,"Lagrella, the Magpie",Myriad58#5983,0,GMT +8,Martianlegacy#4781,1,2,GoldBlaze#0596,2,1,IzzetABCannon#9312,0,2,33,38
2,3,"Ivy, Gleeful Spellthief",GoldBlaze#0596,0,GMT -4,IzzetABCannon#9312,2,0,Myriad58#5983,1,2,Martianlegacy#4781,2,1,67,63
1,3,General Kudro of Drannith,sun_tsu123#2919,0,GMT +2,BirthingPodder#6911,2,1,Jollto#6429,1,2,Freyalisër#3719,1,2,33,44
0,3,Acererak the Archlich,Kalitas#5029,0,GMT +2,artillect#8709,1,2,dooguej#12222,0,2,OoglyBoogly#0741,0,2,0,14
0,3,"Radha, Heart of Keld",jamiewisdom#2157,0,GMT -4,Jollto#6429,1,2,Dracosinus#5200,0,2,ImNotFine#8210,1,2,0,25
2,3,"Chatterfang, Squirrel General",firewolf#6439,0,GMT +2,Peaches#3538,2,0,Martianlegacy#4781,0,2,artillect#8709,2,0,67,67
2,3,"Jodah, the Unifier",dooguej#12222,0,GMT,OoglyBoogly#0741,0,2,Kalitas#5029,2,0,inkheart#1346,2,1,67,57
1,3,"Teferi, Hero of Dominaria",IzzetABCannon#9312,0,GMT -5,GoldBlaze#0596,0,2,Peaches#3538,1,2,Myriad58#5983,2,0,33,43
3,3,"Chandra, Dressed to Kill",Dracosinus#5200,0,GMT +2,Freyalisër#3719,2,0,jamiewisdom#2157,2,0,Thomas (Tomy)#0982,2,1,100,86
2,3,"Elas il-Kor, Sadistic Pilgrim",Jollto#6429,0,GMT +2,jamiewisdom#2157,2,1,sun_tsu123#2919,2,1,BirthingPodder#6911,1,2,67,56
2,3,"Kethis, the Hidden Hand",Freyalisër#3719,0,GMT +2,Dracosinus#5200,0,2,themudman#8734,2,1,sun_tsu123#2919,2,1,67,50
2,3,"Tazri, Beacon of Unity",Martianlegacy#4781,0,GMT +2,Myriad58#5983,2,1,firewolf#6439,2,0,GoldBlaze#0596,1,2,67,63
0,2,"Cosima, God of the Voyage",Moncana#1346,0,GMT +2,themudman#8734,0,2,BirthingPodder#6911,1,2,Peaches#3538,,,0,20
2,3,"Meria, Scholar of Antiquity",ImNotFine#8210,0,GMT +1,Thomas (Tomy)#0982,2,0,OoglyBoogly#0741,0,2,jamiewisdom#2157,2,1,67,57
2,3,Evelyn the Covetous,BirthingPodder#6911,0,GMT -4,sun_tsu123#2919,1,2,Moncana#1346,2,1,Jollto#6429,2,1,67,56
2,3,"Minsc & Boo, Timeless Heros",inkheart#1346,0,GMT -6,BYE,2,0,artillect#8709,2,0,dooguej#12222,1,2,67,71
