Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Week 2 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
1,2,LJ347#9371,25,"Atraxa, Grand Unifier",GMT -7,"TitanLord#4251
SalTheBard#4280
smurph#7256","BirthingPodder
Scales
LordAtlantis",jolox#4306,0,2,Hissp#8379,,,artillect#8709,2,1,33,56%,5,2,40%
2,2,Hissp#8379,26,"Sythis, Harvests Hand",GMT -5,"Myriad58#5983
jsc6518#1318
BirthingPodder#6911","Mobboss
Draco
TitanLord",WrightJustice#3078,2,0,LJ347#9371,,,jolox#4306,2,0,67,39%,4,4,100%
2,3,jolox#4306,27,"Rusko, Clockmaker",GMT +8,#N/A,"Arkinul#5162
Myriad58#5983
Iron#3684",LJ347#9371,2,0,WrightJustice#3078,2,0,Hissp#8379,0,2,67,50%,6,4,67%
0,3,WrightJustice#3078,28,"Fynn, the Fangbearer",GMT,#N/A,"Hazor
Sal
Smurph",Hissp#8379,0,2,jolox#4306,0,2,MidasRight#22350,1,2,0,89%,7,1,14%
3,3,MidasRight#22350,30,Kaya the Inexorable,GMT -5,"Mobboss#5574
Luke99HS#92074
Dracosinus#5200","Coft
Mathematiger
Inkheart",bratstva45 #7456,2,0,AndenTheGamer#0332,2,0,WrightJustice#3078,2,1,100,11%,7,6,86%
2,3,inkheart#1346,32,"Raffine, Scheming Seer",GMT -6,"MatmaTaTor#9428
Martianlegacy#4781
Humblerbee#5050","Coft
Mathematiger
MidasRight",AndenTheGamer#0332,2,1,bratstva45 #7456,2,0,Lordofatlantis33#26519,1,2,67,44%,8,5,63%
0,3,AndenTheGamer#0332,33,"Esika, God of the Tree",GMT +1,"Arkinul#5162
Dozer32#6928
Scales96#6411","Kalitas
Olaf
Zenen",Lordofatlantis33#26519,1,2,MidasRight#22350,0,2,inkheart#1346,1,2,0,89%,8,2,25%
1,3,bratstva45 #7456,34,"Atraxa, Grand Unifier",GMT -8,"OlafTheMoose#5751
MatmaTaTor#9428
Zenen#8628","Arti
Luke
Humbler",MidasRight#22350,0,2,inkheart#1346,0,2,firewolf#6439,2,0,33,67%,6,2,33%
3,3,Lordofatlantis33#26519,35,"Fynn, the Fangbearer",GMT -5,"firewolf#6439
smurph#7256
TitanLord#4251","LJ
BirthingPodder
Scales",inkheart#1346,2,1,grimstien1#5556,2,0,AndenTheGamer#0332,2,1,100,44%,8,6,75%
2,3,grimstien1#5556,36,"Jodah, the Unifier",GMT -5,"Dracosinus#5200
Coft#0794
Luke99HS#92074","Myriad58#5983
Iron#3684
Arkinul#5162",Iron#3684,2,0,Lordofatlantis33#26519,0,2,Humblerbee#5050,2,0,67,67%,6,4,67%
1,3,firewolf#6439,37,"Chatterfang, Squirrel General",GMT +1,"jsc6518#1318
Lordofatlantis33#26519
LordKaiju_2#1660","Iron#3684
Arkinul#5162
Myriad58#5983",smurph#7256,2,0,Humblerbee#5050,1,2,bratstva45 #7456,0,2,33,33%,7,3,43%
0,3,smurph#7256,38,"Cormela, Galmour Thief",GMT -5,"Lordofatlantis33#26519
Mobboss#5574
LJ347#9371","Wright
Sal
Hazor",firewolf#6439,0,2,Iron#3684,1,2,BenGilly#9024,0,2,0,44%,7,1,14%
2,3,Humblerbee#5050,39,Prime Speaker Vannifar,GMT -8,"Distant#5141
Iron#3684
inkheart#1346","Brats
Luke
Arti",BenGilly#9024,2,0,firewolf#6439,2,1,grimstien1#5556,0,2,67,56%,,,
1,3,Iron#3684,42,"Meria, Scholar of Antiquity",GMT -5,"Humblerbee#5050
Jollto#6429
Martianlegacy#4781","grimstien1#5556
firewolf#6439
jolox#4306",grimstien1#5556,0,2,BenGilly#9024,0,2,smurph#7256,2,1,33,44%,,,
2,3,BenGilly#9024,44,"Kinnan, Bonder Prodigy",GMT -6,#N/A,#N/A,Humblerbee#5050,0,2,smurph#7256,2,0,Iron#3684,2,0,67,33%,,,
