Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Chatterfang, Squirrel General",firewolf#6439,1,GMT +1,Skull (romain)#3826,1,2,HAzor#3981,1,2,Flashfan2#8956,2,1,33,44
2,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,2,GMT +1,Jollto#6429,1,2,firewolf#6439,2,1,HAzor#3981,2,1,67,56
3,3,"Sheoldred, the Apocalypse",Jollto#6429,3,GMT +1,Flashfan2#8956,2,1,Skull (romain)#3826,2,1,inkheart#1346,2,1,100,67
2,3,"Ral, Storm Conduit",HAzor#3981,4,GMT -6,firewolf#6439,2,1,inkheart#1346,2,1,Skull (romain)#3826,1,2,67,56
1,3,"Ajani, the Greathearted",Flashfan2#8956,5,GMT -5,inkheart#1346,2,0,Jollto#6429,1,2,firewolf#6439,1,2,33,50
0,3,"Gix, Yawgmoth Praetor",inkheart#1346,6,GMT -6,HAzor#3981,1,2,Flashfan2#8956,0,2,Jollto#6429,1,2,0,25
1,3,"Esika, God of the Tree",Freyalisër#3719,9,GMT +1,Helliax#4621,1,2,Myriad58#5983,2,0,artillect#8709,0,2,33,43
1,3,"Tamiyo, Collector of Tales",Helliax#4621,10,GMT -7,Myriad58#5983,1,2,artillect#8709,1,2,Freyalisër#3719,2,1,33,44
2,3,"Rusko, Clockmaker",Myriad58#5983,11,GMT +8,Freyalisër#3719,0,2,Helliax#4621,2,1,BirthingPodder#6911,2,0,67,57
2,3,"Myrel, Shield of Argive",artillect#8709,12,GMT -7,MathemaTiGer128#0607,1,2,Freyalisër#3719,2,0,Helliax#4621,2,1,67,63
1,3,"Raggadragga, Goreguts Boss",Thomas (Tomy)#0982,13,GMT +1,BirthingPodder#6911,0,2,MathemaTiGer128#0607,0,2,petitpois22#1408,2,0,33,33
1,3,"Golos, Tireless Pilgrim",BirthingPodder#6911,14,GMT -5,petitpois22#1408,1,2,Thomas (Tomy)#0982,2,0,Myriad58#5983,0,2,33,43
3,3,Old Stickfingers,MathemaTiGer128#0607,15,GMT +1,artillect#8709,2,1,petitpois22#1408,2,0,Thomas (Tomy)#0982,2,0,100,86
1,3,"Yorion, Sky Nomad",petitpois22#1408,18,GMT +1,Thomas (Tomy)#0982,0,2,BirthingPodder#6911,2,1,MathemaTiGer128#0607,0,2,33,29
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
