Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,2,The First Sliver,dooguej#12222,1,GMT,Myriad58#5983,2,1,Skull (romain)#3826,0,2,GoldBlaze#0596,,,50,40
3,3,"Raffine, Scheming Seer",ImNotFine#8210,1,GMT +1,firewolf#6439,2,0,Peaches#3538,2,0,inkheart#1346,2,1,100,86
2,3,"Kykar, Winds Fury",themudman#8734,3,GMT +2,Peaches#3538,1,2,Myriad58#5983,2,1,Jollto#6429,2,1,67,56
1,3,"Valki, God of Lies",Peaches#3538,3,GMT -4,ImNotFine#8210,0,2,themudman#8734,2,1,Freyalisër#3719,1,2,33,38
1,3,"Ajani, the Greathearted",Myriad58#5983,3,GMT +8,themudman#8734,1,2,dooguej#12222,1,2,Thomas (Tomy)#0982,2,0,33,50
1,3,"Chatterfang, Squirrel General",firewolf#6439,3,GMT +2,Dracosinus#5200,1,2,ImNotFine#8210,0,2,Kalitas#5029,2,0,33,43
3,3,"Chandra, Dressed to Kill",Dracosinus#5200,3,GMT +2,BirthingPodder#6911,2,0,firewolf#6439,2,1,Martianlegacy#4781,2,0,100,86
1,3,"Balmor, Battlemage Captain",BirthingPodder#6911,3,GMT -4,artillect#8709,0,2,Dracosinus#5200,0,2,Back_Alley_G#3571,2,0,33,33
2,3,"Thalia, Guardian of Thraben",artillect#8709,9,GMT -7,jamiewisdom#2157,2,1,BirthingPodder#6911,2,0,Skull (romain)#3826,0,2,67,57
2,3,"Teferi, Hero of Dominaria",IzzetABCannon#9312,9,GMT -5,Martianlegacy#4781,2,1,Back_Alley_G#3571,0,2,jamiewisdom#2157,2,0,67,57
0,3,"Tazri, Beacon of Unity",Martianlegacy#4781,9,GMT +2,inkheart#1346,1,2,IzzetABCannon#9312,1,2,Dracosinus#5200,0,2,0,25
1,2,"Raffine, Scheming Seer",inkheart#1346,9,GMT -6,GoldBlaze#0596,,,Martianlegacy#4781,2,1,ImNotFine#8210,1,2,50,50
0,0,"Rienne, Angel of Rebirth",GoldBlaze#0596,14,GMT -4,Jollto#6429,,,inkheart#1346,,,dooguej#12222,,,#DIV/0!,#DIV/0!
1,2,"Elas il-Kor, Sadistic Pilgrim",Jollto#6429,14,GMT +2,Thomas (Tomy)#0982,2,1,GoldBlaze#0596,,,themudman#8734,1,2,50,50
0,3,"Miirym, Sentinel Wyrm",Thomas (Tomy)#0982,17,GMT +2,Kalitas#5029,1,2,Jollto#6429,1,2,Myriad58#5983,0,2,0,25
1,3,Acererak the Archlich,Kalitas#5029,17,GMT +2,Freyalisër#3719,0,2,Thomas (Tomy)#0982,2,1,firewolf#6439,0,2,33,29
3,3,"Domri, Anarch of Bolas",Freyalisër#3719,17,GMT +2,Back_Alley_G#3571,2,0,Kalitas#5029,2,0,Peaches#3538,2,1,100,86
1,3,"Jacob Hauken, Inspector",Back_Alley_G#3571,17,GMT -4,IzzetABCannon#9312,2,0,Freyalisër#3719,0,2,BirthingPodder#6911,0,2,33,33
0,3,"Radha, Heart of Keld",jamiewisdom#2157,21,GMT -4,Skull (romain)#3826,1,2,artillect#8709,1,2,IzzetABCannon#9312,0,2,0,25
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,24,GMT +2,dooguej#12222,2,0,jamiewisdom#2157,2,1,artillect#8709,2,0,100,86
