Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
2,3,"Korvld, Fae-Cursed King",Freyalisër#3719,1,GMT +1,Skull (romain)#3826,2,1,Flashfan2#8956,2,1,firewolf#6439,1,2,67,56
1,3,"Kinnan, Bonder Prodigy",Skull (romain)#3826,2,GMT +1,BirthingPodder#6911,2,0,Freyalisër#3719,1,2,inkheart#1346,1,2,33,50
0,2,"Kroxa, Titan of Deaths Hunger",BirthingPodder#6911,5,GMT -5,MathemaTiGer128#0607,0,2,Skull (romain)#3826,0,2,xBastoo#1925,,,0,0
2,3,Old Stickfingers,MathemaTiGer128#0607,7,GMT +1,Myriad58#5983,2,0,BirthingPodder#6911,2,0,HAzor#3981,1,2,67,71
1,3,"Falco Spara, Pactweaver",Myriad58#5983,8,GMT +8,firewolf#6439,0,2,MathemaTiGer128#0607,0,2,Thomas (Tomy)#0982,2,0,33,33
2,3,"Chatterfang, Squirrel General",firewolf#6439,9,GMT +1,inkheart#1346,1,2,Myriad58#5983,2,0,Freyalisër#3719,2,1,67,63
3,3,Niv-Mizzet Reborn,inkheart#1346,10,GMT -6,xBastoo#1925,2,1,firewolf#6439,2,1,Skull (romain)#3826,2,1,100,67
1,2,Gallia of the Endless Dance,xBastoo#1925,11,GMT +1,HAzor#3981,2,1,inkheart#1346,1,2,BirthingPodder#6911,,,50,50
2,3,"Ral, Storm Conduit",HAzor#3981,12,GMT -6,Thomas (Tomy)#0982,2,0,xBastoo#1925,1,2,MathemaTiGer128#0607,2,1,67,63
0,3,"Tasha, Unholy Archmage",Thomas (Tomy)#0982,13,GMT +1,Jollto#6429,0,2,HAzor#3981,0,2,Myriad58#5983,0,2,0,0
2,3,"Sheoldred, the Apocalypse",Jollto#6429,15,GMT +1,Helliax#4621,2,1,Thomas (Tomy)#0982,2,0,Kalitas#5029,1,2,67,63
1,3,"Tamiyo, Collector of Tales",Helliax#4621,17,GMT -7,artillect#8709,0,2,Jollto#6429,1,2,petitpois22#1408,2,1,33,38
1,2,"Myrel, Shield of Argive",artillect#8709,18,GMT -7,Martianlegacy#4781,1,2,Helliax#4621,2,0,jolox#4306,,,50,60
3,3,"Tazri, Beacon of Unity",Martianlegacy#4781,19,GMT +1,player2aj#6725,2,1,artillect#8709,2,1,Clawed6#5212,2,0,100,75
0,3,"Tatyova, Benthic Druid",player2aj#6725,21,GMT -5,Kalitas#5029,0,2,Martianlegacy#4781,1,2,Flashfan2#8956,0,2,0,14
3,3,"Gix, Yawgmoth Praetor",Kalitas#5029,23,GMT +1,petitpois22#1408,2,1,player2aj#6725,2,0,Jollto#6429,2,1,100,75
0,2,"Muldrotha, the Gravetide",petitpois22#1408,25,GMT +1,jolox#4306,,,Kalitas#5029,1,2,Helliax#4621,1,2,0,33
0,1,"Chandra, Awakened Inferno",jolox#4306,35,GMT +8,Clawed6#5212,0,2,petitpois22#1408,,,artillect#8709,,,0,0
1,3,Niv-Mizzet Reborn,Clawed6#5212,40,GMT -2,Flashfan2#8956,0,2,jolox#4306,2,0,Martianlegacy#4781,0,2,33,33
2,3,"Ajani, the Greathearted",Flashfan2#8956,41,GMT -5,Freyalisër#3719,1,2,Clawed6#5212,2,0,player2aj#6725,2,0,67,71
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
