Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Chandra, Dressed to Kill",Dracosinus#5200,1,GMT +2,HAzor#3981,2,1,Freyalisër#3719,0,2,xBastoo#1925,0,2,33,29
3,3,"Adeline, Resplendent Cathar",Freyalisër#3719,1,GMT +2,Dracosinus#5200,2,0,xBastoo#1925,2,0,HAzor#3981,2,0,100,100
1,3,"Nicol Bolas, Dragon-God",xBastoo#1925,1,GMT +2,Freyalisër#3719,0,2,HAzor#3981,0,2,Dracosinus#5200,2,0,33,33
1,3,"Ral, Storm Conduit",HAzor#3981,1,GMT -6,xBastoo#1925,2,0,Dracosinus#5200,1,2,Freyalisër#3719,0,2,33,43
1,3,"Shanna, Purifying Blade",themudman#8734,5,GMT +2,Jollto#6429,1,2,Skull (romain)#3826,2,0,LegendOfChiang#6665,1,2,33,50
0,3,"Kenrith, the Returned King",Peaches#3538,5,GMT -4,Back_Alley_G#3571,0,2,LegendOfChiang#6665,1,2,Skull (romain)#3826,1,2,0,25
1,3,"Chatterfang, Squirrel General",firewolf#6439,5,GMT +2,Skull (romain)#3826,1,2,Thomas (Tomy)#0982,2,0,Back_Alley_G#3571,1,2,33,50
2,3,"Sheoldred, the Apocalypse",Jollto#6429,5,GMT +2,LegendOfChiang#6665,0,2,themudman#8734,2,1,Thomas (Tomy)#0982,2,0,67,57
3,3,Old Stickfingers,Back_Alley_G#3571,5,GMT -4,Thomas (Tomy)#0982,2,0,Peaches#3538,2,0,firewolf#6439,2,1,100,86
2,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,5,GMT +2,themudman#8734,1,2,firewolf#6439,2,1,Peaches#3538,2,1,67,56
3,3,"Kinnan, Bonder Prodigy",LegendOfChiang#6665,5,GMT -4,Peaches#3538,2,1,Jollto#6429,2,0,themudman#8734,2,1,100,75
0,3,"Chandra, Dressed to Kill",Thomas (Tomy)#0982,12,GMT +2,firewolf#6439,0,2,Back_Alley_G#3571,0,2,Jollto#6429,0,2,0,0
3,3,"Kroxa, Titan of Deaths Hunger",BirthingPodder#6911,12,GMT -4,petitpois22#1408,2,1,inkheart#1346,2,1,Martianlegacy#4781,2,1,100,67
1,3,The First Sliver,inkheart#1346,12,GMT -6,BirthingPodder#6911,1,2,MathemaTiGer128#0607,0,2,ImNotFine#8210,2,1,33,38
3,3,Old Stickfingers,MathemaTiGer128#0607,12,GMT +2,inkheart#1346,2,0,artillect#8709,2,1,circulated#6126,2,0,100,86
1,3,"Thalia, Guardian of Thraben",artillect#8709,18,GMT -7,MathemaTiGer128#0607,1,2,Myriad58#5983,1,2,AgentORNJ#7974,2,0,33,50
3,3,"Ajani, Sleeper Agent",Myriad58#5983,18,GMT +8,artillect#8709,2,1,Martianlegacy#4781,2,1,petitpois22#1408,2,0,100,75
0,3,"Tazri, Beacon of Unity",Martianlegacy#4781,18,GMT +2,Myriad58#5983,1,2,ImNotFine#8210,0,2,BirthingPodder#6911,1,2,0,25
2,3,"Niv-Mizzet, Parun",ImNotFine#8210,18,GMT +1,Martianlegacy#4781,2,0,circulated#6126,2,0,inkheart#1346,1,2,67,71
1,3,"Killian, Ink Duelist",circulated#6126,18,GMT -3,ImNotFine#8210,0,2,AgentORNJ#7974,2,1,MathemaTiGer128#0607,0,2,33,29
0,3,"Tezzeret, Master of the Bridge",AgentORNJ#7974,18,GMT -5,circulated#6126,1,2,petitpois22#1408,1,2,artillect#8709,0,2,0,25
1,3,"Yarok, the Desecrated",petitpois22#1408,18,GMT +2,AgentORNJ#7974,2,1,BirthingPodder#6911,1,2,Myriad58#5983,0,2,33,38
