Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
2,3,"Rusko, Clockmaker",BirthingPodder#6911,1,GMT -4,Flashfan2#8956,1,2,themudman#8734,2,0,Freyalisër#3719,2,1,67,63
2,3,"Raffine, Scheming Seer",Flashfan2#8956,2,GMT -5,themudman#8734,1,2,Freyalisër#3719,2,0,BirthingPodder#6911,2,1,67,63
1,3,"Kiora, Behemoth Beckoner",themudman#8734,3,GMT +1,Freyalisër#3719,1,2,BirthingPodder#6911,0,2,Flashfan2#8956,2,1,33,38
1,3,"Korvold, Fae-Cursed King",Freyalisër#3719,4,GMT +1,BirthingPodder#6911,1,2,Flashfan2#8956,0,2,themudman#8734,2,1,33,38
3,3,"Adeline, Resplendent Cathar",MatthieuCrnll(Hobbrick)#6553,5,GMT +1,TitanLord#4251,2,1,Mobboss#5574,2,1,rfrost#7824,2,0,100,75
2,3,"Teferi, Hero of Dominaria",TitanLord#4251,6,GMT -7,Mobboss#5574,2,1,rfrost#7824,2,0,MatthieuCrnll(Hobbrick)#6553,1,2,67,63
1,3,"Rusko, Clockmaker",Mobboss#5574,7,GMT +8,rfrost#7824,2,0,MatthieuCrnll(Hobbrick)#6553,1,2,TitanLord#4251,1,2,33,50
0,3,"Falco Spara, Pactweaver",rfrost#7824,8,GMT,MatthieuCrnll(Hobbrick)#6553,0,2,TitanLord#4251,0,2,Mobboss#5574,0,2,0,0
2,3,Old Stickfingers,MathemaTiGer128#0607,9,GMT +1,inkheart#1346,0,2,OlafTheMoose#5751,2,1,pyrovoice#2314,2,0,67,57
2,3,"Chandra, Dressed to Kill",Dracosinus#5200,10,GMT +1,pyrovoice#2314,0,2,inkheart#1346,2,0,OlafTheMoose#5751,2,1,67,57
2,3,"Rusko, Clockmaker",inkheart#1346,11,GMT -6,OlafTheMoose#5751,2,0,MathemaTiGer128#0607,2,0,Dracosinus#5200,0,2,67,67
0,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,12,GMT +1,MathemaTiGer128#0607,1,2,Dracosinus#5200,1,2,inkheart#1346,0,2,0,25
1,3,"Rusko, Clockmaker",pyrovoice#2314,13,GMT +1,Dracosinus#5200,2,0,Kalitas#5029,0,2,MathemaTiGer128#0607,0,2,33,33
1,3,Acererak the Archlich,Kalitas#5029,14,GMT +1,Skull (romain)#3826,1,2,pyrovoice#2314,2,0,Mortred#7824,0,2,33,43
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,15,GMT +1,Kalitas#5029,2,1,Mortred#7824,2,0,firewolf#6439,2,0,100,86
1,3,"Gix, Yawgmoth Praetor",Mortred#7824,16,GMT -8,firewolf#6439,1,2,Skull (romain)#3826,0,2,Kalitas#5029,2,0,33,43
1,3,"Chatterfang, Squirrel General",firewolf#6439,17,GMT +1,Mortred#7824,2,1,Dozer32#6928,0,2,Skull (romain)#3826,0,2,33,29
1,3,"Crucias, Titan of the Waves",Dozer32#6928,18,GMT -5,HAzor#3981,1,2,firewolf#6439,2,0,Jollto#6429,1,2,33,50
2,3,"Chandra, Torch of Defiance",Jollto#6429,19,GMT +1,Dozer32#6928,2,1,HAzor#3981,1,2,xBastoo#1925,2,0,67,63
2,3,"Ral, Storm Conduit",HAzor#3981,21,GMT -6,MatmaTaTor#9428,0,2,Jollto#6429,2,1,Dozer32#6928,2,1,67,50
3,3,"Azor, the Lawbringer",MatmaTaTor#9428,22,GMT +1,Martianlegacy#4781,2,1,Lordofatlantis33#26519,2,0,HAzor#3981,2,0,100,86
0,3,"Kiora, Behemoth Beckoner",Lordofatlantis33#26519,23,GMT -5,xBastoo#1925,1,2,Martianlegacy#4781,0,2,MatmaTaTor#9428,0,2,0,14
2,3,Narset of the Ancient Way,xBastoo#1925,24,GMT +1,Jollto#6429,0,2,Lordofatlantis33#26519,2,1,Martianlegacy#4781,2,1,67,50
1,3,"Tazri, Beacon of Unity",Martianlegacy#4781,25,GMT +1,xBastoo#1925,1,2,MatmaTaTor#9428,1,2,Lordofatlantis33#26519,2,0,33,50
2,3,"Feather, the Redeemed",artillect#8709,26,GMT -7,WrightJustice#3078,2,1,AndenTheGamer#0332,2,1,SalTheBard#4280,1,2,67,56
1,3,"Ugin, the Ineffable",WrightJustice#3078,27,GMT,AndenTheGamer#0332,1,2,SalTheBard#4280,2,1,artillect#8709,1,2,33,44
1,3,"Niv-Mizzet, Parun",AndenTheGamer#0332,28,GMT +1,SalTheBard#4280,1,2,artillect#8709,1,2,WrightJustice#3078,2,1,33,44
2,3,"Xanathar, Guild Kingpin",SalTheBard#4280,29,GMT -6,artillect#8709,2,1,WrightJustice#3078,1,2,AndenTheGamer#0332,2,1,67,56
0,3,"Balmor, Battlemage Captain",Clawed6#5212,30,GMT -2,Myriad58#5983,0,2,SidusSum#2196,0,2,MidasRight#22350,1,2,0,14
3,3,"Ajani, Sleeper Agent",Myriad58#5983,31,GMT +8,MidasRight#22350,2,0,Clawed6#5212,2,0,SidusSum#2196,2,1,100,86
1,3,"Teferi, Hero of Dominaria",SidusSum#2196,32,GMT -7,bratstva45 #7456,0,2,Myriad58#5983,1,2,Clawed6#5212,2,0,33,43
2,3,Kaya the Inexorable,MidasRight#22350,33,GMT -5,Clawed6#5212,2,1,bratstva45 #7456,2,1,Myriad58#5983,0,2,67,50
2,3,"Urza, Lord Protector",bratstva45 #7456,34,GMT -8,SidusSum#2196,2,0,MidasRight#22350,1,2,BYE,2,0,67,71
0,0,,,,,,,,,,,,,,,
