Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,2,"Chandra, Torch of Defiance",Jollto#6429,1,GMT +1,BirthingPodder#6911,1,2,MatmaTaTor#9428,0,0,Lordofatlantis33#26519,2,1,50,50
1,3,"Ral, Storm Conduit",HAzor#3981,2,GMT -6,Freyalisër#3719,1,2,Dracosinus#5200,0,2,Myriad58#5983,2,0,33,43
1,3,"Kiora, Behemoth Beckoner",Skull (romain)#3826,3,GMT +1,Martianlegacy#4781,2,0,Mobboss#5574,0,2,Flashfan2#8956,0,2,33,33
0,3,"Kinnan, Bonder Prodigy",Myriad58#5983,4,GMT +8,Dozer32#6928,1,2,MathemaTiGer128#0607,0,2,HAzor#3981,0,2,0,14
2,3,Niv-Mizzet Reborn,inkheart#1346,5,GMT -6,Lordofatlantis33#26519,1,2,SidusSum#2196,2,1,MatmaTaTor#9428,2,1,67,56
3,3,"Korvold, Fae-Cursed King",Freyalisër#3719,6,GMT +1,WrightJustice#3078,2,1,HAzor#3981,2,1,Dozer32#6928,2,0,100,75
3,3,"Raffine, Scheming Seer",Flashfan2#8956,7,GMT -5,Evan__#8169,2,0,artillect#8709,2,0,Skull (romain)#3826,2,0,100,100
2,3,Old Stickfingers,MathemaTiGer128#0607,8,GMT +1,Myriad58#5983,2,0,BirthingPodder#6911,0,2,Dracosinus#5200,2,1,67,57
0,3,"Thalia, Guardian of Thraben",artillect#8709,9,GMT -7,Flashfan2#8956,0,2,rfrost#7824,1,2,Mobboss#5574,0,2,0,14
1,3,"Chatterfang, Squirrel General",firewolf#6439,11,GMT +1,Dracosinus#5200,1,2,Lordofatlantis33#26519,2,1,BirthingPodder#6911,1,2,33,44
1,2,Narset of the Ancient Way,xBastoo#1925,12,GMT +1,MatmaTaTor#9428,1,2,Evan__#8169,,,SidusSum#2196,2,1,50,50
1,3,Acererak the Archlich,Kalitas#5029,13,GMT +1,OlafTheMoose#5751,2,1,TitanLord#4251,0,2,themudman#8734,0,2,33,29
3,3,The Gitrog Monster,BirthingPodder#6911,14,GMT -4,MathemaTiGer128#0607,2,0,Jollto#6429,2,1,firewolf#6439,2,1,100,75
1,3,"Tazri, Beacon of Unity",Martianlegacy#4781,15,GMT +1,SidusSum#2196,2,0,Skull (romain)#3826,0,2,Evan__#8169,1,2,33,43
0,3,"Gix, Yawgmoth Praetor",Clawed6#5212,18,GMT -2,rfrost#7824,1,2,OlafTheMoose#5751,0,2,pyrovoice#2314,0,2,0,14
3,3,"Kiora, Behemoth Beckoner",themudman#8734,22,GMT +1,Mortred#7824,2,0,AndenTheGamer#0332,2,1,Kalitas#5029,2,0,100,86
2,3,"Sythis, Harvests Hand",Dracosinus#5200,24,GMT +1,HAzor#3981,2,0,firewolf#6439,2,1,MathemaTiGer128#0607,1,2,67,63
3,3,"Adeline, Resplendent Cathar",MatthieuCrnll(Hobbrick)#6553,25,GMT +1,AndenTheGamer#0332,2,0,Dozer32#6928,2,0,WrightJustice#3078,2,0,100,100
2,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,26,GMT +1,Clawed6#5212,2,0,Kalitas#5029,1,2,Mortred#7824,2,0,67,71
0,3,"Xanathar, Guild Kingpin",SalTheBard#4280,27,GMT -6,Mobboss#5574,1,2,pyrovoice#2314,0,2,rfrost#7824,0,2,0,14
0,3,"Ugin, the Ineffable",WrightJustice#3078,28,GMT,TitanLord#4251,0,2,Freyalisër#3719,1,2,MatthieuCrnll(Hobbrick)#6553,0,2,0,14
3,3,"Falco Spara, Pactweaver",rfrost#7824,29,GMT,artillect#8709,2,1,Clawed6#5212,2,1,SalTheBard#4280,2,0,100,75
0,3,"Golos, Tireless Pilgrim",AndenTheGamer#0332,30,GMT +1,themudman#8734,1,2,MatthieuCrnll(Hobbrick)#6553,0,2,TitanLord#4251,0,2,0,14
1,2,"Azor, the Lawbringer",MatmaTaTor#9428,31,GMT +1,Jollto#6429,0,0,xBastoo#1925,2,1,inkheart#1346,1,2,50,50
2,3,"Rusko, Clockmaker",pyrovoice#2314,32,GMT +1,SalTheBard#4280,2,0,Mortred#7824,1,2,Clawed6#5212,2,0,67,71
1,2,"Light-Paws, Emperors Voice",Evan__#8169,33,GMT -7,xBastoo#1925,,,Flashfan2#8956,0,2,Martianlegacy#4781,2,1,50,40
3,3,"Teferi, Hero of Dominaria",TitanLord#4251,34,GMT -7,Kalitas#5029,2,0,WrightJustice#3078,2,0,AndenTheGamer#0332,2,0,100,100
0,3,"Grazilaxx, Illithid Scholar",SidusSum#2196,35,GMT -7,inkheart#1346,1,2,Martianlegacy#4781,0,2,xBastoo#1925,1,2,0,25
3,3,"Rusko, Clockmaker",Mobboss#5574,36,GMT +8,Skull (romain)#3826,2,0,SalTheBard#4280,2,1,artillect#8709,2,0,100,86
1,3,"Crucias, Titan of the Waves",Dozer32#6928,37,GMT -5,MatthieuCrnll(Hobbrick)#6553,0,2,Myriad58#5983,2,1,Freyalisër#3719,0,2,33,29
1,3,"Emry, Lurker of the Loch",Lordofatlantis33#26519,38,GMT -5,firewolf#6439,1,2,inkheart#1346,2,1,Jollto#6429,1,2,33,44
1,3,"Yorion, Sky Nomad",Mortred#7824,39,GMT -8,pyrovoice#2314,2,1,themudman#8734,0,2,OlafTheMoose#5751,0,2,33,29
