Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
3,3,"Rusko, Clockmaker",Mobboss#5574,1,GMT +8,Hissp#8379,2,0,BirthingPodder#6911,2,0,Skull (romain)#3826,2,0,100,100
1,3,"Emry, Lurker of the Loch",Hissp#8379,2,GMT -4,Mobboss#5574,0,2,Myriad58#5983,0,2,Skull (romain)#3826,2,1,33,29
3,3,"Ragavan, Nimble Pilferer",Myriad58#5983,3,GMT +8,Hissp#8379,2,0,BirthingPodder#6911,2,0,Bishamon#6209,2,0,100,100
1,3,"Uro, Titan of Natures Wrath",BirthingPodder#6911,4,GMT -4,Mobboss#5574,0,2,Myriad58#5983,0,2,Bishamon#6209,2,0,33,33
0,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,5,GMT +2,Mobboss#5574,0,2,Hissp#8379,1,2,Flashfan2#8956,0,2,0,14
0,3,"Baral, Chief of Compliance",Bishamon#6209,6,GMT -5,Myriad58#5983,0,2,BirthingPodder#6911,0,2,Flashfan2#8956,0,2,0,0
3,3,"Raffine, Scheming Seer",Flashfan2#8956,7,GMT -5,Skull (romain)#3826,2,0,Bishamon#6209,2,0,OlafTheMoose#5751,2,1,100,86
0,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,8,GMT +2,Flashfan2#8956,1,2,artillect#8709,1,2,melamed#6695,1,2,0,33
2,3,Geist of Saint Traft,artillect#8709,9,GMT -7,OlafTheMoose#5751,2,1,melamed#6695,1,2,Dozer32#6928,2,1,67,56
3,3,"Atraxa, Grand Unifier",melamed#6695,10,GMT -7,artillect#8709,2,1,OlafTheMoose#5751,2,1,Dozer32#6928,2,0,100,75
1,3,"Sythis, Harvests Hand",Dozer32#6928,11,GMT -5,artillect#8709,1,2,melamed#6695,0,2,themudman#8734,2,1,33,38
2,3,"Raffine, Scheming Seer",themudman#8734,12,GMT +2,Dozer32#6928,1,2,DarkFlameMaster ⬛🔥#0427,2,0,Luke99HS#92074,2,0,67,71
0,3,"Elas il-Kor, Sadistic Pilgrim",DarkFlameMaster ⬛🔥#0427,13,GMT+2,themudman#8734,0,2,Distant#5141,0,2,Pascal#9722,0,2,0,0
0,3,"Jorn, God of Winter",Boat#7130,14,GMT -5,Distant#5141,1,2,Luke99HS#92074,1,2,Pascal#9722,0,2,0,25
3,3,"Teferi, Hero of Dominaria",Distant#5141,15,GMT -5,DarkFlameMaster ⬛🔥#0427,2,0,Boat#7130,2,1,grimstien1#5556,2,0,100,86
1,3,"Lagrella, the Magpie",Luke99HS#92074,16,GMT +2,Boat#7130,2,1,themudman#8734,0,2,grimstien1#5556,1,2,33,38
3,3,"Nicol Bolas, Dragon-God",Pascal#9722,17,GMT +2,DarkFlameMaster ⬛🔥#0427,2,0,Boat#7130,2,0,Arkinul#5162,2,0,100,100
2,3,"Etali, Primal Conqueror",grimstien1#5556,18,GMT -5,Distant#5141,0,2,Luke99HS#92074,2,1,Arkinul#5162,2,1,67,50
0,3,"Kaya, Intangible Slayer",Arkinul#5162,19,GMT +2,Pascal#9722,0,2,grimstien1#5556,1,2,MathemaTiGer128#0607,1,2,0,25
3,3,"Crucias, Titan of the Waves",MathemaTiGer128#0607,20,GMT +2,Arkinul#5162,2,1,TheWatchWander#0586,2,0,jolox#4306,2,0,100,86
2,3,"Ragavan, Nimble Pilferer",TheWatchWander#0586,22,GMT -3,MathemaTiGer128#0607,0,2,jolox#4306,2,0,inkheart#1346,2,0,67,67
1,3,"Ragavan, Nimble Pilferer",jolox#4306,23,GMT +8,TheWatchWander#0586,0,2,MathemaTiGer128#0607,0,2,inkheart#1346,2,0,33,33
1,3,"Ragavan, Nimble Pilferer",inkheart#1346,25,GMT -6,TheWatchWander#0586,0,2,jolox#4306,0,2,MatmaTaTor#9428,2,0,33,33
1,3,"Rusko, Clockmaker",MatmaTaTor#9428,27,GMT +2,inkheart#1346,0,2,Lordofatlantis33#26519,2,0,Drakonnan#5050,1,2,,43
2,3,"Fynn, the Fangbearer",Lordofatlantis33#26519,28,GMT -5,MatmaTaTor#9428,0,2,Drakonnan#5050,2,1,Nagsor Inàste#1183,2,0,,57
2,3,Narset of the Ancient Way,Drakonnan#5050,30,GMT -4,Lordofatlantis33#26519,1,2,MatmaTaTor#9428,2,1,Nagsor Inàste#1183,2,1,,56
1,3,"Tamiyo, Field Researcher",Nagsor Inàste#1183,31,GMT +2,Lordofatlantis33#26519,0,2,Drakonnan#5050,1,2,bratstva45 #7456,2,1,,38
2,3,"Rigo, Streetwise Mentor",bratstva45 #7456,33,GMT -8,Nagsor Inàste#1183,1,2,HAzor#3981,2,0,Iron#3684,2,1,,63
2,3,"Muldrotha, the Gravetide",bobbybim#0953,35,GMT -7,HAzor#3981,0,2,Iron#3684,2,1,smurph#7256,2,0,,57
2,3,Baral and Kari Zev,HAzor#3981,38,GMT -6,bratstva45 #7456,0,2,bobbybim#0953,2,0,smurph#7256,2,0,,67
0,3,"Juri, Master of the Revue",Iron#3684,40,GMT -5,bobbybim#0953,1,2,bratstva45 #7456,1,2,『Katkhan』#6562,0,2,,25
0,3,Drana and Linvala,smurph#7256,41,GMT -5,bobbybim#0953,0,2,HAzor#3981,0,2,『Katkhan』#6562,1,2,,14
3,3,"Etali, Primal Conqueror",『Katkhan』#6562,42,GMT +10,Iron#3684,2,0,smurph#7256,2,1,BYE,2,0,,86
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
