Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,Niv-Mizzet Reborn,inkheart#1346,1,GMT -6,Martianlegacy#4781,1,2,Kalitas#5029,2,1,Freyalisër#3719,1,2,33,44
1,3,"Tazri, Beacon of Unity",Martianlegacy#4781,2,GMT +1,Kalitas#5029,1,2,inkheart#1346,2,1,firewolf#6439,0,2,33,38
1,3,"Gix, Yawgmoth Praetor",Kalitas#5029,3,GMT +1,inkheart#1346,1,2,firewolf#6439,0,2,Martianlegacy#4781,2,1,33,38
2,3,"Chatterfang, Squirrel General",firewolf#6439,4,GMT +1,Jollto#6429,0,2,Martianlegacy#4781,2,0,Kalitas#5029,2,0,67,67
1,3,"Korvold, Fae-Cursed King",Freyalisër#3719,5,GMT +1,HAzor#3981,0,2,Jollto#6429,1,2,inkheart#1346,2,1,33,38
2,3,"Sheoldred, the Apocalypse",Jollto#6429,6,GMT +1,firewolf#6439,2,0,Freyalisër#3719,2,1,HAzor#3981,0,2,67,57
2,3,"Ral, Storm Conduit",HAzor#3981,7,GMT -6,Freyalisër#3719,2,0,Flashfan2#8956,1,2,Jollto#6429,2,0,67,71
2,3,"Ajani, the Greathearted",Flashfan2#8956,9,GMT -5,Skull (romain)#3826,0,2,HAzor#3981,2,1,xBastoo#1925,2,0,67,57
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,10,GMT +1,Flashfan2#8956,2,0,xBastoo#1925,2,0,Myriad58#5983,2,1,100,86
0,3,"Kinnan, Bonder Prodigy",xBastoo#1925,11,GMT +1,Myriad58#5983,0,2,Skull (romain)#3826,0,2,Flashfan2#8956,0,2,0,0
2,3,"Adeline, Resplendent Cathar",Myriad58#5983,13,GMT +8,xBastoo#1925,2,0,artillect#8709,2,1,Skull (romain)#3826,1,2,67,63
1,3,"Myrel, Shield of Argive",artillect#8709,14,GMT -7,Thomas (Tomy)#0982,1,2,Myriad58#5983,1,2,BirthingPodder#6911,2,1,33,44
2,3,"Tamiyo, Collector of Tales",Helliax#4621,15,GMT -7,BirthingPodder#6911,1,2,Thomas (Tomy)#0982,2,1,whatdoesitdo?#1249,2,0,67,63
2,3,"Raggadragga, Goreguts Boss",Thomas (Tomy)#0982,17,GMT +1,artillect#8709,2,1,Helliax#4621,1,2,petitpois22#1408,2,1,67,56
2,3,The Gitrog Monster,BirthingPodder#6911,18,GMT -5,Helliax#4621,2,1,petitpois22#1408,2,1,artillect#8709,1,2,67,56
0,2,"Muldrotha, the Gravetide",petitpois22#1408,19,GMT +1,whatdoesitdo?#1249,,,BirthingPodder#6911,1,2,Thomas (Tomy)#0982,1,2,0,33
1,2,"Raffine, Scheming Seer",whatdoesitdo?#1249,21,GMT -5,petitpois22#1408,,,BYE,2,0,Helliax#4621,0,2,50,50
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
