Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
0,2,"Ragavan, Nimble Pilferer",Mobboss#5574,1,GMT +8,melamed#6695,0,2,Distant#5141,,,MathemaTiGer128#0607,1,2,0,20
1,3,"Ragavan, Nimble Pilferer",Myriad58#5983,2,GMT +8,melamed#6695,1,2,Flashfan2#8956,2,0,MathemaTiGer128#0607,1,2,33,50
2,3,"Atraxa, Grand Unifier",melamed#6695,3,GMT -7,Mobboss#5574,2,0,Myriad58#5983,2,1,Flashfan2#8956,1,2,67,63
2,3,"Raffine, Scheming Seer",Flashfan2#8956,4,GMT -5,Myriad58#5983,0,2,melamed#6695,2,1,BirthingPodder#6911,2,0,67,57
2,3,"Emry, Lurker of the Loch",Hissp#8379,5,GMT -4,artillect#8709,2,1,MathemaTiGer128#0607,1,2,Distant#5141,2,1,67,56
2,3,"Rusko, Clockmaker",BirthingPodder#6911,6,GMT -4,Flashfan2#8956,0,2,Pascal#9722,2,1,artillect#8709,2,1,67,50
1,3,Geist of Saint Traft,artillect#8709,7,GMT -7,Hissp#8379,1,2,BirthingPodder#6911,1,2,Pascal#9722,2,0,33,50
0,2,"Teferi, Hero of Dominaria",Distant#5141,8,GMT -5,Hissp#8379,1,2,Mobboss#5574,,,Dozer32#6928,1,2,0,33
3,3,"Crucias, Titan of the Waves",MathemaTiGer128#0607,9,GMT +2,Mobboss#5574,2,1,Myriad58#5983,2,1,Hissp#8379,2,1,100,67
0,3,"Nicol Bolas, Dragon-God",Pascal#9722,10,GMT +2,artillect#8709,0,2,BirthingPodder#6911,1,2,Dozer32#6928,1,2,0,25
3,3,"Adeline, Resplendent Cathar",Dozer32#6928,12,GMT -5,Distant#5141,2,1,Pascal#9722,2,1,grimstien1#5556,2,0,100,75
2,3,"Raffine, Scheming Seer",themudman#8734,13,GMT +2,grimstien1#5556,2,0,Bishamon#6209,2,1,TheWatchWander#0586,0,2,67,57
0,3,"Etali, Primal Conqueror",grimstien1#5556,14,GMT -5,themudman#8734,0,2,Dozer32#6928,0,2,Boat#7130,0,2,0,0
2,3,"Rusko, Clockmaker",Bishamon#6209,15,GMT -5,themudman#8734,1,2,TheWatchWander#0586,2,1,Luke99HS#92074,2,0,67,63
2,3,"Ragavan, Nimble Pilferer",TheWatchWander#0586,16,GMT -3,Bishamon#6209,1,2,themudman#8734,2,0,Luke99HS#92074,2,1,67,63
0,3,"Lagrella, the Magpie",Luke99HS#92074,18,GMT +2,Bishamon#6209,0,2,TheWatchWander#0586,1,2,jolox#4306,0,2,0,14
1,2,"Ragavan, Nimble Pilferer",jolox#4306,20,GMT +8,Luke99HS#92074,2,0,Drakonnan#5050,1,2,Arkinul#5162,,,50,60
3,3,Narset of the Ancient Way,Drakonnan#5050,22,GMT -4,jolox#4306,2,1,Boat#7130,2,1,Arkinul#5162,2,0,100,75
2,3,"Jorn, God of Winter",Boat#7130,23,GMT -5,Drakonnan#5050,1,2,grimstien1#5556,2,0,MatmaTaTor#9428,2,1,67,63
0,1,"Kaya, Intangible Slayer",Arkinul#5162,24,GMT +2,jolox#4306,,,Drakonnan#5050,0,2,MatmaTaTor#9428,,,0,0
0,1,"Tamiyo, Field Researcher",MatmaTaTor#9428,25,GMT +2,Boat#7130,1,2,Arkinul#5162,,,bratstva45 #7456,,,0,33
3,3,"Ragavan, Nimble Pilferer",inkheart#1346,26,GMT -6,bratstva45 #7456,2,0,bobbybim#0953,2,0,HAzor#3981,2,0,100,100
1,2,"Omnath, Locus of All",bratstva45 #7456,27,GMT -8,inkheart#1346,0,2,MatmaTaTor#9428,,,Kalitas#5029,2,0,50,50
1,3,"Muldrotha, the Gravetide",bobbybim#0953,28,GMT -7,inkheart#1346,0,2,Stoytchnasty#4363,2,1,Nagsor Inàste#1183,0,2,33,29
2,3,"Crucias, Titan of the Waves",HAzor#3981,29,GMT -6,inkheart#1346,0,2,Stoytchnasty#4363,2,1,Nagsor Inàste#1183,2,0,67,57
1,3,"Koth, Fire of Resistance",Stoytchnasty#4363,32,GMT -5,bobbybim#0953,1,2,HAzor#3981,1,2,Iron#3684,2,0,33,50
1,3,"Niv-Mizzet, Parun",Nagsor Inàste#1183,33,GMT +2,Kalitas#5029,1,2,bobbybim#0953,2,0,HAzor#3981,0,2,33,43
1,3,Thalia and the Gitrog Monster,Kalitas#5029,34,GMT +2,Nagsor Inàste#1183,2,1,bratstva45 #7456,0,2,Clawed6#5212,1,2,33,38
2,3,"Thalia, Guardian of Thraben",whatdoesitdo?#1249,38,GMT -4,Iron#3684,2,0,Clawed6#5212,0,2,AthenaTTV#4803,2,0,67,67
1,3,"Quintorious, Loremaster",Iron#3684,42,GMT -5,whatdoesitdo?#1249,0,2,AthenaTTV#4803,2,0,Stoytchnasty#4363,0,2,33,33
3,3,Zurgo and Ojutai,Clawed6#5212,44,GMT +2,AthenaTTV#4803,2,0,whatdoesitdo?#1249,2,0,Kalitas#5029,2,1,100,86
0,3,Tyvar Kell,AthenaTTV#4803,45,GMT -4,Clawed6#5212,0,2,Iron#3684,0,2,whatdoesitdo?#1249,0,2,0,0
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
