Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
2,3,Kalitas#5029,27,Acererak the Archlich,GMT +1,"Skull (romain)#3826
Scales96#6411
Arkinul#5162",Zenen#8628,2,0,OlafTheMoose#5751,2,1,AndenTheGamer#0332,0,2,67,44%,7,4,57%
1,3,AndenTheGamer#0332,28,"Esika, God of the Tree",GMT +1,"Arkinul#5162
Dozer32#6928
Scales96#6411",Zenen#8628,1,2,OlafTheMoose#5751,0,2,Kalitas#5029,2,0,33,56%,7,3,43%
1,3,bratstva45 #7456,29,"Atraxa, Grand Unifier",GMT -8,"OlafTheMoose#5751
MatmaTaTor#9428
Zenen#8628",Luke99HS#92074,0,2,artillect#8709,0,2,Humblerbee#5050,2,1,33,56%,7,2,29%
3,3,Luke99HS#92074,30,"Atraxa, Grand Unifier",GMT +1,"MidasRight#22350
MatthieuCrnll(Hobbrick)#6553
grimstien1#5556",bratstva45 #7456,2,0,artillect#8709,2,0,Humblerbee#5050,2,0,100,33%,6,6,100%
2,3,artillect#8709,31,"Elesh Norn, Mother of Machines",GMT -7,"melamed#6695
BirthingPodder#6911
Myriad58#5983",bratstva45 #7456,2,0,Luke99HS#92074,0,2,Humblerbee#5050,2,0,67,44%,6,4,67%
0,3,Humblerbee#5050,32,Prime Speaker Vannifar,GMT -8,"Distant#5141
Iron#3684
inkheart#1346",bratstva45 #7456,1,2,Luke99HS#92074,0,2,artillect#8709,0,2,0,67%,7,1,14%
2,3,WrightJustice#3078,33,"Fynn, the Fangbearer",GMT,#N/A,HAzor#3981,1,2,SalTheBard#4280,2,1,smurph#7256,2,0,67,44%,8,5,63%
3,3,HAzor#3981,34,"Hinata, Dawn-Crowned",GMT -6,"MatthieuCrnll(Hobbrick)#6553
Skull (romain)#3826
themudman#8734",WrightJustice#3078,2,1,SalTheBard#4280,2,0,smurph#7256,2,0,100,33%,7,6,86%
0,3,SalTheBard#4280,35,"Xanathar, Guild Kingpin",GMT -6,"LJ347#9371
Dracosinus#5200
Mobboss#5574",WrightJustice#3078,1,2,HAzor#3981,0,2,smurph#7256,0,2,0,67%,7,1,14%
1,3,smurph#7256,36,Queen Kayla bin-Kroog,GMT -5,"Lordofatlantis33#26519
Mobboss#5574
LJ347#9371",WrightJustice#3078,0,2,HAzor#3981,0,2,SalTheBard#4280,2,0,33,56%,6,2,33%
2,3,Myriad58#5983,38,"Niv-Mizzet, Parun",GMT +8,"Jollto#6429
Hissp#8379
artillect#8709",grimstien1#5556,2,0,jolox#4306,1,2,firewolf#6439,2,1,67,78%,8,5,63%
2,3,grimstien1#5556,39,"Tyvar, Jubilant Brawler",GMT -5,"Dracosinus#5200
Coft#0794
Luke99HS#92074",Iron#3684,2,0,Myriad58#5983,0,2,Arkinul#5162,2,1,67,22%,7,4,57%
0,3,Iron#3684,40,"Meria, Scholar of Antiquity",GMT -5,"Humblerbee#5050
Jollto#6429
Martianlegacy#4781",firewolf#6439,0,2,grimstien1#5556,0,2,jolox#4306,0,2,0,78%,6,0,0%
2,3,firewolf#6439,41,"Chatterfang, Squirrel General",GMT +1,"jsc6518#1318
Lordofatlantis33#26519
LordKaiju_2#1660",Arkinul#5162,2,0,Iron#3684,2,0,Myriad58#5983,1,2,67,22%,7,5,71%
0,3,Arkinul#5162,42,"Esika, God of the Tree",GMT +1,"MathemaTiGer128#0607
AndenTheGamer#0332
Kalitas#5029",jolox#4306,0,2,firewolf#6439,0,2,grimstien1#5556,1,2,0,78%,7,1,14%
3,3,jolox#4306,43,"Rusko, Clockmaker",GMT +8,#N/A,Myriad58#5983,2,1,Arkinul#5162,2,0,Iron#3684,2,0,100,22%,7,6,86%
