Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
3,3,"Uro, Titan of Natures Wrath",BirthingPodder#6911,2,GMT -4,TitanLord#4251,2,1,Skull (romain)#3826,2,0,MatmaTaTor#9428,2,0,100,86
2,3,"Raffine, Scheming Seer",Flashfan2#8956,3,GMT -5,MathemaTiGer128#0607,2,0,MatmaTaTor#9428,1,2,TitanLord#4251,2,0,67,71
0,3,"Teferi, Hero of Dominaria",TitanLord#4251,4,GMT -7,BirthingPodder#6911,1,2,Flashfan2#8956,0,2,Skull (romain)#3826,0,2,0,14
1,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,5,GMT +1,MatmaTaTor#9428,1,2,TitanLord#4251,2,0,BirthingPodder#6911,0,2,33,43
2,3,"Azor, the Lawbringer",MatmaTaTor#9428,6,GMT +1,Skull (romain)#3826,2,1,BirthingPodder#6911,0,2,Flashfan2#8956,2,1,67,50
2,3,Old Stickfingers,MathemaTiGer128#0607,7,GMT +1,Flashfan2#8956,0,2,Freyalisër#3719,2,1,themudman#8734,2,0,67,57
1,3,"Kiora, Behemoth Beckoner",themudman#8734,8,GMT +1,inkheart#1346,2,1,Dracosinus#5200,0,2,MathemaTiGer128#0607,0,2,33,29
2,3,"Kinnan, Bonder Prodigy",Dracosinus#5200,9,GMT +1,themudman#8734,2,0,Mobboss#5574,0,2,Freyalisër#3719,2,1,67,57
1,3,"Korvold, Fae-Cursed King",Freyalisër#3719,10,GMT +1,Dracosinus#5200,1,2,MathemaTiGer128#0607,1,2,inkheart#1346,2,1,33,44
0,3,"Niv-Mizzet, Parun",inkheart#1346,11,GMT -6,Freyalisër#3719,1,2,themudman#8734,1,2,Mobboss#5574,0,2,0,25
3,3,"Rusko, Clockmaker",Mobboss#5574,12,GMT +8,HAzor#3981,2,0,inkheart#1346,2,0,Dracosinus#5200,2,0,100,100
2,3,"Ral, Storm Conduit",HAzor#3981,13,GMT -6,Mobboss#5574,0,2,Kalitas#5029,2,1,xBastoo#1925,2,0,67,57
3,3,"Chandra, Torch of Defiance",Jollto#6429,14,GMT +1,artillect#8709,2,0,Myriad58#5983,2,1,Kalitas#5029,2,0,100,86
2,3,"Niv-Mizzet, Parun",Myriad58#5983,15,GMT +8,Jollto#6429,1,2,xBastoo#1925,2,0,artillect#8709,2,0,67,71
0,3,Narset of the Ancient Way,xBastoo#1925,17,GMT +1,Myriad58#5983,0,2,artillect#8709,0,2,HAzor#3981,0,2,0,0
1,3,"Feather, the Redeemed",artillect#8709,19,GMT -7,xBastoo#1925,2,0,Jollto#6429,0,2,Myriad58#5983,0,2,33,33
1,3,Acererak the Archlich,Kalitas#5029,20,GMT +1,SalTheBard#4280,2,0,HAzor#3981,1,2,Jollto#6429,0,2,33,43
0,3,"Xanathar, Guild Kingpin",SalTheBard#4280,21,GMT -6,Kalitas#5029,0,2,Dozer32#6928,0,2,Mortred#7824,1,2,0,14
3,3,"Yorion, Sky Nomad",Mortred#7824,22,GMT -8,Martianlegacy#4781,2,1,SalTheBard#4280,2,1,Dozer32#6928,2,1,100,67
1,3,"Rigo, Streetwise Mentor",Dozer32#6928,23,GMT -5,SalTheBard#4280,2,0,Mortred#7824,1,2,OlafTheMoose#5751,1,2,33,50
3,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,25,GMT +1,Dozer32#6928,2,1,MidasRight#22350,2,0,Martianlegacy#4781,2,1,100,75
1,3,"Tazri, Beacon of Unity",Martianlegacy#4781,26,GMT +1,Mortred#7824,1,2,OlafTheMoose#5751,1,2,MidasRight#22350,2,0,33,50
0,3,Kaya the Inexorable,MidasRight#22350,27,GMT -5,OlafTheMoose#5751,0,2,Martianlegacy#4781,0,2,WrightJustice#3078,1,2,0,14
2,3,The First Sliver,WrightJustice#3078,28,GMT,MidasRight#22350,2,1,SidusSum#2196,2,0,Lordofatlantis33#26519,0,2,,57
2,3,"Niv-Mizzet, Parun",AndenTheGamer#0332,29,GMT +1,bratstva45 #7456,2,0,Lordofatlantis33#26519,0,2,SidusSum#2196,2,0,,67
2,3,"Emry, Lurker of the Loch",Lordofatlantis33#26519,30,GMT -5,WrightJustice#3078,2,0,AndenTheGamer#0332,2,0,bratstva45 #7456,0,2,,67
0,3,"Kinnan, Bonder Prodigy",SidusSum#2196,31,GMT -7,AndenTheGamer#0332,0,2,WrightJustice#3078,0,2,Evan__#8169,0,2,,0
2,3,"Golos, Tireless Pilgrim",bratstva45 #7456,32,GMT -8,Lordofatlantis33#26519,2,0,Evan__#8169,2,1,AndenTheGamer#0332,0,2,,57
2,3,"Sythis, Harvests Hand",Evan__#8169,33,GMT -7,SidusSum#2196,2,0,bratstva45 #7456,1,2,Clawed6#5212,2,0,,71
1,3,Niv-Mizzet Reborn,Clawed6#5212,34,GMT -2,Evan__#8169,0,2,smurph#7256,2,1,Lotus#1438,1,2,,38
2,3,"Raggadragga, Goreguts Boss",Lotus#1438,35,GMT -7,Hissp#8379,1,2,Clawed6#5212,2,1,smurph#7256,2,1,,56
1,3,"Greasefang, Okiba Boss",smurph#7256,36,GMT -5,Clawed6#5212,1,2,Lotus#1438,1,2,Mateosm2399#3410,2,0,,50
2,3,"Kiora, Behemoth Beckoner",Hissp#8379,37,GMT -5,Lotus#1438,2,1,Mateosm2399#3410,2,0,Coft#0794,1,2,,63
0,3,Marrow-Gnawer,Mateosm2399#3410,38,GMT -5,smurph#7256,0,2,Hissp#8379,0,2,Coft#0794,0,2,,0
3,3,"Ob Nixilis, the Adversary",Coft#0794,39,GMT +1,Mateosm2399#3410,2,0,BYE,2,0,Hissp#8379,2,1,,86
