Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
3,3,"Chandra, Dressed to Kill",Dracosinus#5200,2,GMT +2,MathemaTiGer128#0607,2,0,themudman#8734,2,1,Martianlegacy#4781,2,0,100,86
2,3,"Shanna, Purifying Blade",themudman#8734,4,GMT +2,Dracosinus#5200,1,2,artillect#8709,2,1,Back_Alley_G#3571,2,0,67,63
0,3,"Thalia, Guardian of Thraben",artillect#8709,5,GMT -7,themudman#8734,1,2,Peaches#3538,1,2,Skull (romain)#3826,1,2,0,33
2,3,"Kenrith, the Returned King",Peaches#3538,5,GMT -4,artillect#8709,2,1,Myriad58#5983,2,0,Thomas (Tomy)#0982,1,2,67,63
0,3,"Ajani, Sleeper Agent",Myriad58#5983,5,GMT +8,Peaches#3538,0,2,firewolf#6439,0,2,xBastoo#1925,0,2,0,0
2,2,"Chatterfang, Squirrel General",firewolf#6439,5,GMT +2,Myriad58#5983,2,0,IzzetABCannon#9312,,,circulated#6126,2,0,100,100
1,2,"Teferi, Hero of Dominaria",IzzetABCannon#9312,5,GMT -5,firewolf#6439,,,BirthingPodder#6911,2,0,HAzor#3981,0,2,50,50
1,3,"Evelyn, the Covetous",BirthingPodder#6911,5,GMT -4,IzzetABCannon#9312,0,2,Freyalisër#3719,0,2,zahori#6309,2,1,33,29
3,3,"Adeline, Resplendent Cathar",Freyalisër#3719,11,GMT +2,BirthingPodder#6911,2,0,inkheart#1346,2,0,LegendOfChiang#6665,2,0,100,100
1,3,"Raffine, Scheming Seer",inkheart#1346,11,GMT -6,Freyalisër#3719,0,2,Jollto#6429,0,2,Helliax#4621,2,1,33,29
2,3,"Sheoldred, the Apocalypse",Jollto#6429,13,GMT +2,inkheart#1346,2,0,Martianlegacy#4781,2,0,MathemaTiGer128#0607,0,2,67,67
0,3,"Tazri, Beacon of Unity",Martianlegacy#4781,13,GMT +2,Jollto#6429,0,2,Back_Alley_G#3571,0,2,Dracosinus#5200,0,2,0,0
2,3,Old Stickfingers,Back_Alley_G#3571,16,GMT -4,Martianlegacy#4781,2,0,Skull (romain)#3826,2,1,themudman#8734,0,2,67,57
2,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,16,GMT +2,Back_Alley_G#3571,1,2,Thomas (Tomy)#0982,2,1,artillect#8709,2,1,67,56
1,3,"Raggadragga, Goreguts Boss",Thomas (Tomy)#0982,21,GMT +2,Skull (romain)#3826,1,2,xBastoo#1925,0,2,Peaches#3538,2,1,33,38
3,3,"Nicol Bolas, Dragon-God",xBastoo#1925,25,GMT +2,Thomas (Tomy)#0982,2,0,circulated#6126,2,0,Myriad58#5983,2,0,100,100
0,3,Velomachus Lorehold,circulated#6126,25,GMT -3,xBastoo#1925,0,2,HAzor#3981,0,2,firewolf#6439,0,2,0,0
3,3,"Ral, Storm Conduit",HAzor#3981,25,GMT -6,circulated#6126,2,0,zahori#6309,2,0,IzzetABCannon#9312,2,0,100,100
0,3,"Shanna, Purifying Blade",zahori#6309,25,GMT -6,HAzor#3981,0,2,LegendOfChiang#6665,0,2,BirthingPodder#6911,1,2,0,14
2,3,"Kinnan, Bonder Prodigy",LegendOfChiang#6665,25,GMT -4,zahori#6309,2,0,Helliax#4621,2,1,Freyalisër#3719,0,2,67,57
1,3,"Nicol Bolas, the Ravager",Helliax#4621,25,GMT -7,LegendOfChiang#6665,1,2,MathemaTiGer128#0607,2,0,inkheart#1346,1,2,33,50
1,3,Old Stickfingers,MathemaTiGer128#0607,25,GMT +2,Helliax#4621,0,2,Dracosinus#5200,0,2,Jollto#6429,2,0,33,33
