Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Week 2 Opponents,Week 3 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
1,3,Jollto#6429,18,"Elesh Norn, Mother of Machines",GMT +1,"Iron#3684
Myriad58#5983
melamed#6695","Distant#5141
LordKaiju_2#1660
Martianlegacy#4781","MathemaTiGer128#0607
artillect#8709
OlafTheMoose#5751",Kalitas#5029,2,0,HAzor#3981,0,2,Scales96#6411,1,2,33%,56%,7,3,43%
1,3,jolox#4306,20,"Rusko, Clockmaker",GMT +8,#N/A,"Myriad58#5983
Arkinul#5162
Iron#3684","LJ347#9371
WrightJustice#3078
Hissp#8379",MathemaTiGer128#0607,1,2,Scales96#6411,0,2,Lordofatlantis33#26519,2,0,33%,44%,7,3,43%
2,3,HAzor#3981,21,"Ral, Storm Conduit",GMT -6,"MatthieuCrnll(Hobbrick)#6553
Skull (romain)#3826
themudman#8734","WrightJustice#3078
SalTheBard#4280
smurph#7256","BirthingPodder#6911
Skull (romain)#3826
Coft#0794",Scales96#6411,2,0,Jollto#6429,2,0,MathemaTiGer128#0607,1,2,67%,56%,7,5,71%
2,3,MathemaTiGer128#0607,22,Old Stickfingers,GMT +1,"themudman#8734
Arkinul#5162
Skull (romain)#3826","MidasRight#22350
Coft#0794
inkheart#1346","Jollto#6429
OlafTheMoose#5751
Kalitas#5029",jolox#4306,2,1,Distant#5141,0,2,HAzor#3981,2,1,67%,44%,8,4,50%
1,3,Distant#5141,23,"Feldon, Ronom Excavator",GMT -5,"Zenen#8628
Humblerbee#5050
MatmaTaTor#9428","LordKaiju_2#1660
Martianlegacy#4781
Jollto#6429","Freyalisër#3719
Dozer32#6928
Dracosinus#5200",inkheart#1346,0,2,MathemaTiGer128#0607,2,0,themudman#8734,0,2,33%,78%,6,2,33%
3,3,inkheart#1346,24,"Raffine, Scheming Seer",GMT -6,"MatmaTaTor#9428
Martianlegacy#4781
Humblerbee#5050","MidasRight#22350
Coft#0794
MathemaTiGer128#0607","AndenTheGamer#0332
bratstva45 #7456
Lordofatlantis33#26519",grimstien1#5556,2,0,LordKaiju_2#1660,2,0,Distant#5141,2,0,100%,33%,6,6,100%
1,3,LordKaiju_2#1660,25,"Raffine, Scheming Seer",GMT -8,"Freyalisër#3719
TitanLord#4251
firewolf#6439","Distant#5141
Martianlegacy#4781
Jollto#6429","MatmaTaTor#9428
Dracosinus#5200
Dozer32#6928",themudman#8734,2,1,inkheart#1346,0,2,LJ347#9371,0,2,33%,72%,7,2,29%
2,3,themudman#8734,26,"Raffine, Scheming Seer",GMT +1,"Coft#0794
MathemaTiGer128#0607
HAzor#3981","Skull (romain)#3826
MatthieuCrnll(Hobbrick)#6553
Flashfan2#8956","Mobboss#5574
BirthingPodder#6911
Luke99HS#92074",Distant#5141,2,0,MatmaTaTor#9428,2,1,LordKaiju_2#1660,1,2,67%,22%,8,5,63%
0,2,MatmaTaTor#9428,27,"Atraxa, Grand Unifier",GMT +1,"bratstva45 #7456
inkheart#1346
Distant#5141","melamed#6695
Freyalisër#3719
Dozer32#6928","Dracosinus#5200
Luke99HS#92074
LordKaiju_2#1660",LJ347#9371,,,themudman#8734,1,2,grimstien1#5556,0,2,0%,50%,5,1,20%
1,3,grimstien1#5556,28,"Jodah, the Unifier",GMT -5,"Dracosinus#5200
Coft#0794
Luke99HS#92074","Iron#3684
Myriad58#5983
Arkinul#5162","Iron#3684
Lordofatlantis33#26519
Humblerbee#5050",MatmaTaTor#9428,2,0,bratstva45 #7456,0,2,inkheart#1346,0,2,33%,56%,6,2,33%
1,2,LJ347#9371,29,"Atraxa, Grand Unifier",GMT -7,"TitanLord#4251
SalTheBard#4280
smurph#7256","Scales96#6411
Lordofatlantis33#26519
BirthingPodder#6911","jolox#4306
Hissp#8379
artillect#8709",LordKaiju_2#1660,2,0,bratstva45 #7456,1,2,MatmaTaTor#9428,,,33%,33%,5,3,60%
2,3,bratstva45 #7456,30,"Kinnan, Bonder Prodigy",GMT -8,"OlafTheMoose#5751
MatmaTaTor#9428
Zenen#8628","Luke99HS#92074
artillect#8709
Humblerbee#5050","MidasRight#22350
inkheart#1346
firewolf#6439",LJ347#9371,2,1,grimstien1#5556,2,0,Myriad58#5983,0,2,67%,50%,7,4,57%
3,3,Humblerbee#5050,31,Prime Speaker Vannifar,GMT -8,"Distant#5141
Iron#3684
inkheart#1346","bratstva45 #7456
Luke99HS#92074
artillect#8709","BenGilly#9024
firewolf#6439
grimstien1#5556",WrightJustice#3078,2,0,smurph#7256,2,0,Myriad58#5983,2,0,100%,33%,6,6,100%
1,2,artillect#8709,33,"Elesh Norn, Mother of Machines",GMT -7,"melamed#6695
BirthingPodder#6911
Myriad58#5983","bratstva45 #7456
Luke99HS#92074
Humblerbee#5050","Kalitas#5029
Jollto#6429
LJ347#9371",firewolf#6439,0,2,Iron#3684,2,0,BenGilly#9024,,,33%,33%,4,2,50%
1,3,WrightJustice#3078,34,"Atraxa, Grand Unifier",GMT,#N/A,"HAzor#3981
SalTheBard#4280
smurph#7256","Hissp#8379
jolox#4306
MidasRight#22350",Humblerbee#5050,0,2,firewolf#6439,0,2,smurph#7256,2,0,33%,67%,6,2,33%
2,2,firewolf#6439,35,"Chatterfang, Squirrel General",GMT +1,"jsc6518#1318
Lordofatlantis33#26519
LordKaiju_2#1660","Arkinul#5162
Iron#3684
Myriad58#5983","smurph#7256
Humblerbee#5050
bratstva45 #7456",artillect#8709,2,0,WrightJustice#3078,2,0,BenGilly#9024,,,67%,28%,4,4,100%
2,3,Myriad58#5983,36,"Ajani, Sleeper Agent",GMT +8,"Jollto#6429
Hissp#8379
artillect#8709","grimstien1#5556
jolox#4306
firewolf#6439",#N/A,bratstva45 #7456,2,0,Iron#3684,2,0,Humblerbee#5050,0,2,67%,56%,6,4,67%
3,3,AndenTheGamer#0332,37,"Esika, God of the Tree",GMT +1,"Arkinul#5162
Dozer32#6928
Scales96#6411","Zenen#8628
OlafTheMoose#5751
Kalitas#5029","Lordofatlantis33#26519
MidasRight#22350
inkheart#1346",BenGilly#9024,2,0,smurph#7256,2,0,Iron#3684,2,0,100%,0%,6,6,100%
0,1,BenGilly#9024,39,"Kinnan, Bonder Prodigy",GMT -6,#N/A,#N/A,"Humblerbee#5050
smurph#7256
Iron#3684",AndenTheGamer#0332,0,2,artillect#8709,,,firewolf#6439,,,0%,83%,2,0,0%
0,3,smurph#7256,40,"Ognis, the Dragons Lash",GMT -5,"Lordofatlantis33#26519
Mobboss#5574
LJ347#9371","WrightJustice#3078
HAzor#3981
SalTheBard#4280","firewolf#6439
Iron#3684
BenGilly#9024",Humblerbee#5050,0,2,AndenTheGamer#0332,0,2,WrightJustice#3078,0,2,0%,78%,6,0,0%
0,3,Iron#3684,41,"Meria, Scholar of Antiquity",GMT -5,"Humblerbee#5050
Jollto#6429
Martianlegacy#4781","firewolf#6439
grimstien1#5556
jolox#4306","grimstien1#5556
BenGilly#9024
smurph#7256",artillect#8709,0,2,Myriad58#5983,0,2,AndenTheGamer#0332,0,2,0%,72%,6,0,0%
,,,,,,"

","

","

",,,,,,,,,,,,,,
