Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Korvold, Fae-Cursed King",Freyalisër#3719,1,GMT +2,Skull (romain)#3826,1,2,MathemaTiGer128#0607,1,2,Myriad58#5983,2,0,33,50
2,3,"Sythis, Harvests Hand",Dracosinus#5200,2,GMT +2,Myriad58#5983,2,1,Skull (romain)#3826,0,2,BirthingPodder#6911,2,1,67,50
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,2,GMT +2,Freyalisër#3719,2,1,Dracosinus#5200,2,0,LegendOfChiang#6665,2,1,100,75
1,3,"Kinnan, Bonder Prodigy",LegendOfChiang#6665,2,GMT -4,MathemaTiGer128#0607,2,0,Myriad58#5983,1,2,Skull (romain)#3826,1,2,33,50
1,3,Old Stickfingers,MathemaTiGer128#0607,5,GMT +2,LegendOfChiang#6665,0,2,Freyalisër#3719,2,1,BirthingPodder#6911,0,2,33,29
1,3,"Halana and Alena, Partners",Myriad58#5983,6,GMT +8,Dracosinus#5200,1,2,LegendOfChiang#6665,2,1,Freyalisër#3719,0,2,33,38
2,3,"Adeline, Resplendent Cathar",BirthingPodder#6911,6,GMT -4,Back_Alley_G#3571,2,1,MathemaTiGer128#0607,2,0,Dracosinus#5200,1,2,67,63
2,3,"Kari Zev, Skyship Raider",Back_Alley_G#3571,6,GMT -4,BirthingPodder#6911,1,2,HAzor#3981,2,0,xBastoo#1925,2,0,67,71
1,3,"Niv-Mizzet, Parun",xBastoo#1925,6,GMT +2,artillect#8709,2,0,Back_Alley_G#3571,0,2,inkheart#1346,0,2,33,33
1,3,"Sythis, Harvests Hand",Thomas (Tomy)#0982,10,GMT +2,inkheart#1346,1,2,Martianlegacy#4781,2,0,HAzor#3981,0,2,33,43
2,3,Niv-Mizzet Reborn,inkheart#1346,10,GMT -6,xBastoo#1925,2,0,Thomas (Tomy)#0982,2,1,HAzor#3981,1,2,67,63
2,3,"Ral, Storm Conduit",HAzor#3981,10,GMT -6,Back_Alley_G#3571,0,2,inkheart#1346,2,1,Thomas (Tomy)#0982,2,0,67,57
0,3,"Thalia, Guardian of Thraben",artillect#8709,17,GMT -7,firewolf#6439,0,2,xBastoo#1925,0,2,Martianlegacy#4781,0,2,0,0
3,3,"Chatterfang, Squirrel General",firewolf#6439,17,GMT +2,Martianlegacy#4781,2,0,artillect#8709,2,0,petitpois22#1408,2,0,100,100
1,3,"Tazri, Beacon of Unity",Martianlegacy#4781,19,GMT +2,Thomas (Tomy)#0982,0,2,firewolf#6439,0,2,artillect#8709,2,0,33,33
0,3,"Yarok, the Desecrated",petitpois22#1408,19,GMT +2,circulated#6126,0,2,player2aj#6725,0,2,firewolf#6439,0,2,0,0
2,3,"Zareth San, the Trickster",circulated#6126,23,GMT -3,petitpois22#1408,2,0,Kalitas#5029,2,0,player2aj#6725,1,2,67,71
2,3,"Trelasarra, Moon Dancer",player2aj#6725,23,GMT -5,Kalitas#5029,0,2,petitpois22#1408,2,0,circulated#6126,2,1,67,57
2,3,Acererak the Archlich,Kalitas#5029,25,GMT +2,player2aj#6725,2,0,circulated#6126,0,2,BYE,2,0,67,67
