Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
2,3,"Ghalta, Primal Hunger",Myriad58#5983,1,GMT +8,themudman#8734,2,1,Mobboss#5574,1,2,artillect#8709,2,1,67,56
0,3,"Raffine, Scheming Seer",themudman#8734,2,GMT +2,Myriad58#5983,1,2,Mobboss#5574,0,2,artillect#8709,0,2,0,14
3,3,"Rusko, Clockmaker",Mobboss#5574,3,GMT +8,Myriad58#5983,2,1,themudman#8734,2,0,artillect#8709,2,0,100,86
1,3,Geist of Saint Traft,artillect#8709,4,GMT -7,Myriad58#5983,1,2,themudman#8734,2,0,Mobboss#5574,0,2,33,43
2,3,"Uro, Titan of Natures Wrath",BirthingPodder#6911,5,GMT -4,Dozer32#6928,2,1,jolox#4306,2,1,Hissp#8379,1,2,67,56
1,3,"Sythis, Harvests Hand",Dozer32#6928,6,GMT -5,BirthingPodder#6911,1,2,jolox#4306,2,0,Flashfan2#8956,0,2,33,43
0,3,"Rusko, Clockmaker",jolox#4306,7,GMT +8,BirthingPodder#6911,1,2,Dozer32#6928,0,2,Hissp#8379,0,2,0,14
3,3,"Emry, Lurker of the Loch",Hissp#8379,8,GMT -4,BirthingPodder#6911,2,1,jolox#4306,2,0,Flashfan2#8956,2,1,100,75
2,3,"Raffine, Scheming Seer",Flashfan2#8956,9,GMT -5,Dozer32#6928,2,0,Hissp#8379,1,2,Stoytchnasty#4363,2,1,67,63
0,3,"Nissa, Who Shakes the World",Stoytchnasty#4363,11,GMT -5,Flashfan2#8956,1,2,Skull (romain)#3826,0,2,melamed#6695,1,2,0,25
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,13,GMT +2,Stoytchnasty#4363,2,0,melamed#6695,2,1,inkheart#1346,2,1,100,75
2,3,"Atraxa, Grand Unifier",melamed#6695,14,GMT -7,Stoytchnasty#4363,2,1,Skull (romain)#3826,1,2,inkheart#1346,2,1,67,56
0,3,"Raffine, Scheming Seer",inkheart#1346,15,GMT -6,Skull (romain)#3826,1,2,melamed#6695,1,2,OlafTheMoose#5751,0,2,0,25
2,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,16,GMT +2,inkheart#1346,2,0,grimstien1#5556,2,0,Bishamon#6209,1,2,67,71
1,3,"Jetmir, Nexus of Revels",grimstien1#5556,17,GMT -5,OlafTheMoose#5751,0,2,Bishamon#6209,1,2,Drakonnan#5050,2,1,33,38
3,3,"Baral, Chief of Compliance",Bishamon#6209,18,GMT -5,grimstien1#5556,2,1,OlafTheMoose#5751,2,1,Drakonnan#5050,2,1,100,67
0,3,"Kiora, Behemoth Beckoner",Drakonnan#5050,19,GMT -4,grimstien1#5556,1,2,Bishamon#6209,1,2,MathemaTiGer128#0607,1,2,0,33
2,3,"Crucias, Titan of the Waves",MathemaTiGer128#0607,21,GMT +2,Drakonnan#5050,2,1,AndenTheGamer#0332,2,0,Luke99HS#92074,0,2,67,57
0,3,"Esika, God of the Tree",AndenTheGamer#0332,22,GMT +2,MathemaTiGer128#0607,0,2,Luke99HS#92074,1,2,Distant#5141,0,2,0,14
2,3,"Atraxa, Grand Unifier",Luke99HS#92074,24,GMT +2,AndenTheGamer#0332,2,1,MathemaTiGer128#0607,2,0,Distant#5141,0,2,67,57
2,3,"Teferi, Hero of Dominaria",Distant#5141,25,GMT -5,AndenTheGamer#0332,2,0,Luke99HS#92074,2,0,Arkinul#5162,1,2,67,71
2,3,"Kaya, Intangible Slayer",Arkinul#5162,26,GMT +2,Distant#5141,2,1,Boat#7130,0,2,bobbybim#0953,2,0,67,57
2,3,"Jorn, God of Winter",Boat#7130,28,GMT -5,Arkinul#5162,2,0,bratstva45 #7456,2,0,DarkFlameMaster ⬛🔥#0427,1,2,67,71
0,3,"Muldrotha, the Gravetide",bobbybim#0953,31,GMT -7,Arkinul#5162,0,2,DarkFlameMaster ⬛🔥#0427,0,2,bratstva45 #7456,1,2,0,14
1,3,"Nicol Bolas, Dragon-God",bratstva45 #7456,32,GMT -8,Boat#7130,0,2,bobbybim#0953,2,1,Lordofatlantis33#26519,0,2,33,29
3,3,"Elas il-Kor, Sadistic Pilgrim",DarkFlameMaster ⬛🔥#0427,34,GMT+2,bobbybim#0953,2,0,Boat#7130,2,1,Freyalisër#3719,2,0,100,86
2,3,"Fynn, the Fangbearer",Lordofatlantis33#26519,36,GMT -5,bratstva45 #7456,2,0,Pascal#9722,1,2,Iron#3684,2,0,67,71
0,3,"Thrun, Breaker of Silence",Iron#3684,37,GMT -5,Lordofatlantis33#26519,0,2,Pascal#9722,1,2,ricky spanish#1782,0,2,0,14
3,3,"Nicol Bolas, Dragon-God",Pascal#9722,38,GMT +2,Iron#3684,2,1,TheWatchWander#0586,2,0,Lordofatlantis33#26519,2,1,100,75
3,3,Geist of Saint Traft,ricky spanish#1782,39,GMT -3,Freyalisër#3719,2,1,TheWatchWander#0586,2,0,Iron#3684,2,1,100,75
2,3,"Orvar, the All-Form",TheWatchWander#0586,40,GMT -3,ricky spanish#1782,2,0,Pascal#9722,0,2,Freyalisër#3719,2,0,67,67
1,3,"Vraska, Golgari Queen",Freyalisër#3719,41,GMT +2,DarkFlameMaster ⬛🔥#0427,2,1,ricky spanish#1782,0,2,TheWatchWander#0586,1,2,33,38
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
