Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
3,3,"Sheoldred, the Apocalypse",Jollto#6429,1,GMT +1,Myriad58#5983,2,1,artillect#8709,2,0,MathemaTiGer128#0607,2,0,100,86
1,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,2,GMT +1,MathemaTiGer128#0607,2,0,Helliax#4621,0,2,artillect#8709,0,2,33,33
2,3,"Ral, Storm Conduit",HAzor#3981,3,GMT -6,artillect#8709,2,0,Myriad58#5983,1,2,Helliax#4621,2,0,67,71
1,3,"Ajani, the Greathearted",Flashfan2#8956,5,GMT -5,Helliax#4621,2,0,MathemaTiGer128#0607,1,2,Myriad58#5983,0,2,33,43
2,3,"Rusko, Clockmaker",Myriad58#5983,6,GMT +8,Jollto#6429,1,2,HAzor#3981,2,1,Flashfan2#8956,2,0,67,63
1,3,Old Stickfingers,MathemaTiGer128#0607,7,GMT +1,Flashfan2#8956,2,1,Jollto#6429,0,2,Skull (romain)#3826,0,2,33,29
2,3,"Korvold, Fae-Cursed King",Freyalisër#3719,8,GMT +1,Kalitas#5029,2,0,BirthingPodder#6911,2,1,xBastoo#1925,1,2,67,63
1,3,"Myrel, Shield of Argive",artillect#8709,8,GMT -7,HAzor#3981,0,2,Skull (romain)#3826,2,0,Jollto#6429,0,2,33,33
1,3,"Tamiyo, Collector of Tales",Helliax#4621,10,GMT -7,Skull (romain)#3826,2,0,Flashfan2#8956,0,2,HAzor#3981,0,2,33,33
3,3,"Rusko, Clockmaker",inkheart#1346,11,GMT -6,BirthingPodder#6911,2,0,themudman#8734,2,1,Lorna Shore#5141,2,0,100,86
0,2,"Gix, Yawgmoth Praetor",Kalitas#5029,13,GMT +1,Freyalisër#3719,0,2,xBastoo#1925,0,2,BirthingPodder#6911,,,0,0
0,2,"Chatterfang, Squirrel General",BirthingPodder#6911,15,GMT -5,inkheart#1346,0,2,Freyalisër#3719,1,2,Kalitas#5029,,,0,20
3,3,Narset of the Ancient Way,xBastoo#1925,17,GMT +1,themudman#8734,2,0,Kalitas#5029,2,0,Freyalisër#3719,2,1,100,86
0,2,"Kykar, Winds Fury",themudman#8734,22,GMT -5,xBastoo#1925,0,2,Lorna Shore#5141,,,inkheart#1346,1,2,0,20
1,2,"Zareth San, the Trickster",Lorna Shore#5141,22,GMT -5,BYE,2,0,inkheart#1346,0,2,themudman#8734,,,50,50
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
