Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,2,"Balmor, Battlemage Captain",OoglyBoogly#0741,1,GMT -4,jolox#4306,,,Dracosinus#5200,1,2,BirthingPodder#6911,2,0,50,60
2,3,"Chandra, Dressed to Kill",Dracosinus#5200,1,GMT +2,OoglyBoogly#0741,2,1,themudman#8734,2,0,inkheart#1346,0,2,67,57
2,3,"Kykar, Winds Fury",themudman#8734,3,GMT +2,Dracosinus#5200,0,2,GoldBlaze#0596,2,1,Thomas (Tomy)#0982,2,0,67,57
1,3,"Ivy, Gleeful Spellthief",GoldBlaze#0596,3,GMT -4,themudman#8734,1,2,firewolf#6439,1,2,artillect#8709,2,1,33,44
1,3,"Braids, Arisen Nightmare",firewolf#6439,3,GMT +2,GoldBlaze#0596,2,1,dooguej#12222,1,2,Myriad58#5983,0,2,33,38
2,3,"Jetmir, Nexus of Revels",dooguej#12222,3,GMT,firewolf#6439,2,1,Jollto#6429,2,1,Peaches#3538,0,2,67,50
0,3,"Elas il-Kor, Sadistic Pilgrim",Jollto#6429,3,GMT +2,dooguej#12222,1,2,Martianlegacy#4781,0,2,IzzetABCannon#9312,0,2,0,14
2,3,"Tazri, Beacon of Unity",Martianlegacy#4781,3,GMT +2,Jollto#6429,2,0,ImNotFine#8210,0,2,Kalitas#5029,2,1,67,57
3,3,"Rigo, Streetwise Mentor",ImNotFine#8210,3,GMT +1,Martianlegacy#4781,2,0,BirthingPodder#6911,2,1,Donneh#5081,2,0,100,86
1,3,The Gitrog Monster,BirthingPodder#6911,3,GMT -4,ImNotFine#8210,1,2,inkheart#1346,2,1,OoglyBoogly#0741,0,2,33,38
1,3,"Ajani, Sleeper Agent",inkheart#1346,3,GMT -6,BirthingPodder#6911,1,2,Thomas (Tomy)#0982,1,2,Dracosinus#5200,2,0,33,50
1,3,"Light Paws, Voice of the Emperor",Thomas (Tomy)#0982,13,GMT +2,inkheart#1346,2,1,artillect#8709,0,2,themudman#8734,0,2,33,29
2,3,"Thalia, Guardian of Thraben",artillect#8709,13,GMT -7,Thomas (Tomy)#0982,2,0,Peaches#3538,2,1,GoldBlaze#0596,1,2,67,63
2,3,"Teferi, Hero of Dominaria",Peaches#3538,13,GMT -4,artillect#8709,1,2,Myriad58#5983,2,0,dooguej#12222,2,0,67,71
2,3,"Ajani, Sleeper Agent",Myriad58#5983,13,GMT +8,Peaches#3538,0,2,Kalitas#5029,2,1,firewolf#6439,2,0,67,57
2,3,"Teferi, Hero of Dominaria",IzzetABCannon#9312,13,GMT -5,Kalitas#5029,2,1,Donneh#5081,0,2,Jollto#6429,2,0,67,57
0,3,Acererak the Archlich,Kalitas#5029,19,GMT +2,Myriad58#5983,1,2,IzzetABCannon#9312,1,2,Martianlegacy#4781,1,2,0,33
2,3,"Jacob Hauken, Inspector",Donneh#5081,19,GMT -6,IzzetABCannon#9312,2,0,jolox#4306,2,1,ImNotFine#8210,0,2,67,57
1,2,Ertai Resurrected ,jolox#4306,19,GMT +8,Donneh#5081,1,2,OoglyBoogly#0741,,,BYE,2,0,50,60
