Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
2,3,"Uro, Titan of Natures Wrath",ImNotFine#8210,1,GMT +1,Martianlegacy#4781,2,0,themudman#8734,2,1,dooguej#12222,1,2,67,63
1,3,"Kykar, Winds Fury",themudman#8734,3,GMT +2,ImNotFine#8210,1,2,dooguej#12222,0,2,Martianlegacy#4781,2,0,33,43
3,3,"Kinnan, Bonder Prodigy",dooguej#12222,3,GMT,themudman#8734,2,0,Martianlegacy#4781,2,0,ImNotFine#8210,2,1,100,86
0,3,"Tazri, Beacon of Unity",Martianlegacy#4781,3,GMT +2,dooguej#12222,0,2,ImNotFine#8210,0,2,themudman#8734,0,2,0,0
1,3,"Thalia, Guardian of Thraben",artillect#8709,7,GMT -7,Jollto#6429,0,2,Myriad58#5983,1,2,IzzetABCannon#9312,2,0,33,43
2,3,"Valki, God of Lies",Peaches#3538,7,GMT -4,inkheart#1346,2,1,Jollto#6429,2,1,BirthingPodder#6911,0,2,67,50
2,3,"Ajani, Sleeper Agent",Myriad58#5983,7,GMT +8,artillect#8709,2,1,Donneh#5081,2,1,inkheart#1346,1,2,67,56
2,2,"Chatterfang, Squirrel General",firewolf#6439,7,GMT +2,Freyalisër#3719,2,1,IzzetABCannon#9312,,,Jollto#6429,2,1,100,67
1,2,"Teferi, Hero of Dominaria",IzzetABCannon#9312,7,GMT -5,firewolf#6439,,,BirthingPodder#6911,2,0,artillect#8709,0,2,50,50
2,3,"Kroxa, Titan of Deaths Hunger",BirthingPodder#6911,7,GMT -4,IzzetABCannon#9312,0,2,Freyalisër#3719,2,0,Peaches#3538,2,0,67,67
1,3,"Raffine, Scheming Seer",inkheart#1346,7,GMT -6,Back_Alley_G#3571,1,2,Peaches#3538,1,2,Myriad58#5983,2,1,33,44
1,3,"Elas il-Kor, Sadistic Pilgrim",Jollto#6429,15,GMT +2,Peaches#3538,1,2,artillect#8709,2,0,firewolf#6439,1,2,33,50
0,3,"Kethis, the Hidden Hand",Freyalisër#3719,15,GMT +2,BirthingPodder#6911,0,2,firewolf#6439,1,2,Kalitas#5029,1,2,0,25
1,3,"Jacob Hauken, Inspector",Donneh#5081,15,GMT -6,Myriad58#5983,1,2,Kalitas#5029,2,0,jamiewisdom#2157,0,2,33,43
2,3,Acererak the Archlich,Kalitas#5029,21,GMT +2,Donneh#5081,0,2,jamiewisdom#2157,2,1,Freyalisër#3719,2,1,67,50
2,3,"Radha, Heart of Keld",jamiewisdom#2157,21,GMT -4,Kalitas#5029,1,2,Back_Alley_G#3571,2,1,Donneh#5081,2,0,67,63
2,3,"Jacob Hauken, Inspector",Back_Alley_G#3571,21,GMT -4,jamiewisdom#2157,1,2,inkheart#1346,2,1,BYE,2,0,67,63
